card_acc_no,card_no,cust_id,valid_thru,cvv,cred_limit,outstanding
508,503882361309,2837,06/32,711,38891.7,28358.66
509,4280778681658799,2441,10/27,203,32688.26,26028.15
510,2587685273231642,2757,10/34,854,2008.72,4901.76
511,4014487831170626466,609,09/27,915,24766.58,31677.52
512,36017659084349,2025,03/31,175,31941.47,1067.67
513,4684870844232646,2766,12/32,530,4675.64,32171.65
514,3501997726531010,2814,03/27,449,18322.84,25825.09
515,370394262533697,1883,12/25,306,8166.39,47661.46
516,4886230833061,979,12/33,008,24749.1,36549.26
517,4352709573782634720,2813,10/31,5736,40645.45,41917.96
518,4497651185450,335,02/27,676,46913.05,21558.52
519,676143385489,1290,01/27,764,18578.28,40166.69
520,4333057715474409,448,10/33,377,27869.22,34975.02
521,213110495935926,1324,04/28,400,40673.99,5404.17
522,6011147166741333,230,03/29,236,8458.68,17804.29
523,3500052113782924,1157,05/27,980,42323.44,49248.05
524,3516484082206399,1075,12/28,519,14938.36,47110.34
525,6011429426165556,187,10/31,528,3735.56,36507.56
526,4922485103420356245,2114,01/27,770,22438.45,49671.23
527,3504462243830822,1230,06/27,145,44747.8,31224.66
528,4888264063769872,1395,11/33,561,49135.61,37228.39
529,4503610723028243911,1035,12/26,826,7693.66,36991.47
530,370809552797785,1538,01/31,862,21989.76,20903.84
531,2649913464264289,2101,06/29,941,8580.73,36951.58
532,4223420013801,668,09/28,2408,49374.3,14284.91
533,4019332874318,1452,01/28,337,6379.44,6915.35
534,3543856178195064,450,09/31,8245,12922.47,47764.49
535,343654970716049,1221,12/31,828,22259.78,30667.76
536,3545083840105938,548,01/32,827,39684.97,47896.2
537,676163425959,865,08/26,075,14187.01,35870.42
538,4765232182733440,2019,01/31,4338,44791.51,11785.35
539,4726456070610837294,2336,04/30,986,8349.92,28980.4
540,4783618463326178523,993,07/30,333,45282.06,24756.46
541,341922963213411,1857,08/31,578,8562.48,2916.4
542,4149527139486563,2535,01/26,940,1374.89,34513.26
543,3596977727397393,783,11/26,8655,40735.55,13858.51
544,180040766323388,640,01/33,097,17405.94,24384.76
545,4127477001604149,2247,09/25,424,40476.99,13237.86
546,346525592695018,1834,08/28,442,41427.13,8357.7
547,4873432631144798,952,09/28,910,36911.85,20658.56
548,4185375271085487,1927,01/26,185,45406.33,35046.99
549,4649862703225955,1229,03/30,640,49022.87,46748.77
550,3569065989725502,1076,12/28,018,12358.88,23266.09
551,3561108130818905,785,07/29,627,41510.86,34261.96
552,4229985885954064,2903,05/34,877,39241.69,38659.18
553,6011432109722255,1368,08/30,8688,49770.85,9566.09
554,5306589183448721,2389,12/27,639,37169.91,15212.09
555,3586245074310373,2024,06/32,3549,35405.25,12939.36
556,344473780513390,213,06/30,0220,23443.48,7778.14
557,6011550208207454,2759,07/30,344,19061.66,39439.21
558,501832417775,2357,03/28,810,27352.07,35388.85
559,342619087392878,1265,10/32,972,11255.12,37924.33
560,3560488175666943,764,06/29,072,11089.62,21480.18
561,213174055376046,1007,06/29,6576,28248.6,8652.48
562,2258025254435607,2463,06/33,519,46505.16,9152.35
563,6599767600809048,2102,10/27,3951,15580.84,28653.63
564,2257493453575295,425,03/27,502,40201.4,42306.46
565,347512203171422,1050,04/27,087,39962.21,2221.53
566,213119762102060,968,12/27,081,47409.91,46115.17
567,4281426332674,68,01/27,699,16312.47,42177.46
568,4081100084138892,1008,06/33,438,16389.89,4976.9
569,4050551033463337613,374,07/33,146,41812.43,41555.32
570,676141315645,1259,10/34,642,4216.61,30102.27
571,4083108154400022131,1793,07/25,714,46240.7,5477.12
572,4374794979022416283,1833,05/33,264,12618.78,961.17
573,4847947239637789,2984,08/26,369,41973.26,49228.62
574,180065789001711,2499,07/28,512,32191.2,41643.72
575,4058294283225,777,11/34,650,43526.97,15681.86
576,375487260311630,202,03/32,1752,45173.47,23894.55
577,5346330050392110,710,11/33,014,28808.5,11215.69
578,3527323520566849,1585,08/26,582,31225.52,27629.35
579,4656950150217314960,509,07/26,568,19125.17,26532.66
580,3554655934020988,242,12/32,203,9780.41,5641.08
581,180061341168973,2134,08/34,806,4611.86,15498.77
582,180057392810380,1134,02/29,889,48348.81,12533.29
583,4041682928661923,2995,08/31,547,24624.89,9284.74
584,6011752680364221,1258,08/26,280,30464.39,6050.19
585,4648783239388466,544,03/32,155,21376.8,15752.73
586,2255275190392882,2749,04/28,756,35772.67,29847.54
587,213150819078029,800,06/34,472,15004.4,26401.05
588,180065503512019,600,11/28,116,43729.18,44426.13
589,378029703826811,273,07/26,2065,37487.14,49752.5
590,345438555313903,996,05/34,043,11256.57,21262.72
591,36893244405326,533,11/34,224,4194.51,21678.65
592,4306303217779244640,1116,08/25,147,38138.62,21540.76
593,4760245983842843,1664,08/29,817,7750.18,384.96
594,4579849011555581,591,05/29,5172,34258.39,27762.19
595,6011769469622223,508,07/25,187,19514.95,1177.6
596,4397609988205,846,11/26,266,7500.21,37802.92
597,4328805269389689,1143,10/27,869,26239.02,27202.27
598,180097774005878,2613,03/28,920,16338.4,2374.31
599,36043783552357,470,07/25,900,43468.39,23419.02
600,3583508587683260,1856,04/25,528,15402.34,18508.56
601,3570362905885123,1878,03/32,532,12950.03,35142.27
602,6011265500505097,967,01/32,925,2762.79,48977.63
603,564319749904,2709,07/34,093,23560.36,22396.71
604,676325535489,2937,05/26,522,21564.29,14652.04
605,30353507582523,731,05/34,678,42146.23,33469.74
606,4711365678737,2882,11/26,486,16585.05,11023.47
607,4637196044814423,1222,01/31,495,40645.1,46758.29
608,180043513617078,1902,04/28,910,38947.17,3157.04
609,3578904281197995,2108,03/33,709,17772.17,49847.17
610,676399845558,2571,05/28,545,6183.82,25122.59
611,4464770541229,2432,05/25,191,20224.73,20100.23
612,2604088524798353,638,09/27,056,41738.21,24888.63
613,4683549266650276,1070,05/29,987,15079.37,49850.48
614,4748812652185618176,1071,10/33,710,44758.39,28919.02
615,4582837876658595,2098,03/30,677,28690.48,10936.1
616,503849136596,2295,01/27,324,35708.55,748.27
617,4251155973725,2544,02/26,2906,16585.21,31145.0
618,2712258187061352,1728,07/27,390,27424.45,12981.79
619,4573334222868,599,04/31,6218,9175.5,2103.52
620,30395667409989,1477,05/34,469,30625.43,31924.07
621,2229376804800998,1407,04/34,474,33609.12,26438.34
622,30099347077758,85,09/34,099,44168.49,6039.91
623,6011616168612593,2249,04/30,080,27564.77,32545.07
624,4683440141892,744,12/34,580,9945.65,20123.62
625,4507924629264,2237,11/34,963,21880.5,36312.17
626,4030425497784711838,1201,06/31,681,1341.21,37327.69
627,501873472788,1457,12/26,093,16609.88,16157.31
628,3505419123957389,301,12/25,373,16217.97,2574.93
629,3548660806173468,2720,02/33,544,13073.31,16224.13
630,348721850048861,723,11/26,319,18357.56,11085.96
631,4228628868809996361,2244,01/30,771,39456.25,31190.53
632,639037226011,348,05/26,256,44546.7,46574.6
633,347339063778306,3,12/29,305,47831.19,4327.51
634,3559940664576580,851,02/30,066,34101.64,17917.57
635,180017159595475,2285,08/32,536,28274.64,49897.65
636,4618386459713623,1583,03/35,436,6076.57,46365.2
637,4256279583888279,1718,04/34,281,29735.4,10859.18
638,4939557467850001,664,10/25,574,11784.99,21354.65
639,4017083780313176,2409,04/28,753,47317.83,41293.85
640,341437885516452,2603,06/26,890,29301.26,27267.98
641,3514486740244441,2344,02/29,095,27636.09,45669.1
642,4042685176823433,187,09/34,143,44358.23,34621.9
643,6521294627570225,2656,05/26,682,7030.04,45599.18
644,6505589266212868,1481,07/31,339,18602.73,6054.65
645,4995293875776575167,1349,01/31,281,16517.72,5626.71
646,6505162730721409,934,08/25,559,8873.25,49622.55
647,4716334871149,2217,06/28,520,35939.07,48326.41
648,180001705525160,1686,08/32,298,5141.57,22247.5
649,4439687294316445555,1210,03/32,525,6707.52,6630.17
650,4039759441380599897,1869,09/29,527,37561.02,32590.14
651,4767080063886,1607,03/33,838,48708.64,33945.24
652,3584767478920608,844,01/34,441,30138.33,27644.28
653,4474685912693295,542,11/31,504,42062.63,33180.47
654,2262309135206179,447,07/28,858,26999.72,1578.76
655,6564712707832023,1614,11/29,265,49243.06,8442.09
656,4654277911000144,115,08/31,449,36278.65,7541.58
657,213169465714950,309,10/26,275,29347.02,21527.01
658,3546052511664894,1779,02/33,031,48043.65,4455.44
659,4401089380466102,4,04/29,829,46293.07,25944.16
660,213150827152238,1184,02/26,734,16279.46,46133.4
661,30465779556264,1474,07/25,635,30847.24,13359.34
662,180042045742727,683,11/34,760,35864.46,49141.51
663,4645311020331,2191,12/30,354,21909.77,45787.75
664,4395568198046428,2138,10/28,162,39334.48,9499.41
665,3516235836508450,1588,12/27,665,29932.06,36005.37
666,4513039210382479,2752,08/30,3984,30812.84,1320.0
667,676275191879,2353,05/32,429,23527.62,5904.62
668,2715358988041939,1377,05/26,866,22484.02,28960.82
669,503884300677,981,10/31,411,31015.9,22125.58
670,30543647427767,1139,06/33,070,26763.89,39414.74
671,5426242063875499,2100,04/31,034,16756.47,18622.26
672,5537336336477335,1826,05/29,593,29888.26,2130.16
673,180028641962298,1202,12/27,541,27939.07,18224.94
674,3502534112379115,2179,08/30,648,14784.95,2233.33
675,586049645821,54,05/30,485,35568.02,46065.71
676,213181876753345,1086,09/30,233,23795.54,9842.32
677,4848137148255845,937,09/29,941,40602.44,47935.23
678,2291042714292329,1487,09/33,509,20389.27,49779.92
679,2427506551750349,2555,03/27,931,25675.99,12706.53
680,180051069462757,715,01/35,976,39086.48,30347.79
681,213194401514181,2094,12/27,639,33571.26,47733.67
682,344487032188637,1169,09/31,606,15701.61,48056.84
683,2232051048824287,2699,08/27,481,14906.7,42631.9
684,4731239040505895,1316,09/29,152,20143.4,19677.55
685,213151357359920,2082,12/34,038,28068.81,4828.85
686,060424591307,1328,11/31,163,21514.01,40503.81
687,36554841201571,2422,10/28,445,13478.14,15901.85
688,4409274174409466,1274,03/28,108,21263.31,20839.82
689,676328156390,799,01/35,489,3332.81,3070.76
690,4120492530322854,535,12/32,582,28408.73,39423.09
691,213148862085420,2444,11/33,997,18596.27,17771.98
692,4940393974456398,2418,12/32,919,39669.34,26908.21
693,213155361979656,2350,09/33,2354,22010.49,8278.53
694,2291027140940005,128,11/29,793,5231.59,46801.72
695,4028140606645384,2817,11/26,213,48139.19,28756.34
696,3583681225766670,430,04/31,500,6493.11,16516.76
697,4812045509577180,2279,06/28,6001,8081.68,23794.99
698,4764679930365316,2676,08/29,097,38274.05,11925.58
699,4827208253627,725,05/33,468,38882.67,15943.47
700,373693652935009,2320,11/32,908,37484.71,23022.89
701,4912354652341,163,09/34,8753,48436.6,41293.92
702,30251639214660,1572,04/27,7711,9771.32,8634.56
703,373221256322745,659,01/30,552,20648.4,18986.23
704,346822205450463,689,01/28,626,11092.04,47215.04
705,3596958109387665,2578,08/32,492,28302.34,6250.66
706,3597753609063448,171,12/25,099,47649.44,42944.63
707,3583752457403561,1527,01/28,038,12488.25,35134.35
708,378518671582216,2071,11/25,382,1115.51,15982.46
709,4556815095260676,1,02/29,748,25471.5,4868.3
710,6524283257145728,1741,01/26,3644,31162.24,5912.71
711,503832239019,1207,05/25,375,32489.23,5554.93
712,4936202438072046,2253,05/29,775,34785.44,48925.98
713,4656444975656514603,2686,07/27,687,40758.97,39316.74
714,4110784714302914,46,06/28,8210,14187.25,32983.96
715,3584454019902524,668,12/30,735,30472.65,24674.05
716,6508249144168926,496,06/32,679,2588.36,38735.35
717,6011921426111580,1722,06/34,629,13227.99,21672.8
718,2327554046138739,1972,10/34,803,48602.16,45601.61
719,4088616855265732,2880,04/26,898,41387.93,17861.46
720,4076755728702,1629,04/28,565,45386.6,14059.07
721,213170137591792,722,02/29,769,16268.5,43033.86
722,4000447228289158,1093,07/29,207,10659.55,9112.68
723,30499987107735,507,05/26,406,15744.47,3586.6
724,4318133764215165591,1498,09/30,225,38976.45,32429.05
725,2245124768664053,1954,02/26,184,3070.81,32856.99
726,4889304464930902,1817,11/32,9777,33559.16,10894.9
727,180053293898442,1050,01/35,868,18291.56,33499.94
728,3595643633604329,1095,02/33,189,17316.52,42778.14
729,379844121588499,1682,03/29,852,16994.12,18958.28
730,341724228883305,1949,01/31,748,27289.27,49441.72
731,3550261658512385,1270,04/28,778,16216.34,32715.15
732,4760835982090640,910,03/26,787,34438.0,18853.57
733,379013186643694,2225,04/30,749,42299.0,33743.06
734,3561451061714853,2137,01/30,786,48240.04,18794.32
735,3528898691541555,1211,02/29,046,40656.73,32270.7
736,4353884625197878,972,05/30,723,14192.17,15349.51
737,4902634901919768,2613,06/32,535,33390.23,31401.87
738,30444152894584,86,11/32,384,27692.63,15484.15
739,3564712418413276,1153,04/33,652,44852.88,19453.33
740,213112497203279,2488,02/31,871,39695.27,23949.27
741,4540815921049649,1691,03/25,6542,3841.76,20401.81
742,3596631470298072,165,11/28,985,25543.01,16251.45
743,30340620601074,1250,02/32,497,48441.02,26055.08
744,4376714350238,869,08/30,794,7391.31,5753.85
745,3541828310313113,1172,05/25,050,8421.84,31090.25
746,4388418956168601,1559,10/28,934,30265.1,47687.29
747,3523554084015716,969,08/25,798,41399.29,47700.63
748,676313926112,1129,11/31,058,10475.46,8849.67
749,340261905060742,657,11/25,289,45456.25,15731.62
750,4126874870081428,2622,12/26,717,1515.52,7059.5
751,2281227628663754,1704,06/26,533,40561.24,28090.35
752,3570288978032691,2307,03/31,641,6631.87,2527.31
753,30217479797619,616,03/28,304,27494.16,15676.28
754,4871971314489,800,09/34,281,25815.04,19749.54
755,2258833538627133,2746,04/34,366,17214.74,22880.39
756,30106131084880,148,05/31,599,32150.2,29924.32
757,2720557118802895,1080,01/28,447,39374.99,38970.68
758,5592303035744888,899,05/34,616,12322.82,37040.57
759,379604083681496,2875,08/31,917,40586.98,20742.1
760,4966860922416109488,1889,03/28,286,29716.5,20292.87
761,4306158956014046,1301,07/34,985,39368.85,39840.23
762,4341739310559,1207,05/28,613,7810.27,48361.4
763,4490177693171709,2401,09/29,749,41763.53,49903.2
764,060473740474,1776,11/30,639,31630.08,1427.24
765,586191953726,2079,08/27,417,22827.21,38433.11
766,3589561787429608,1482,11/31,664,28918.83,34067.14
767,4478327616501151685,839,04/29,545,29927.64,20111.54
768,213158475664057,885,08/31,247,28337.6,38817.82
769,342244071120837,2762,04/32,2059,4375.24,30030.79
770,4928059257475,1327,10/29,1498,7092.19,24815.08
771,3553986435502047,2172,04/30,075,25739.42,29164.61
772,347563936643385,1229,01/28,373,15983.98,791.24
773,180013362663150,964,11/28,938,9946.74,7735.07
774,3538051606483491,608,12/28,280,40541.82,37677.99
775,4044596820415849897,24,07/29,4497,31787.71,37499.48
776,4320951647161,2973,02/30,714,49222.71,14563.79
777,5311284126519662,667,04/27,792,15027.94,1136.0
778,30289631440362,550,09/28,875,44744.1,37968.04
779,502066770731,496,06/28,783,25379.7,35350.44
780,6574545875707629,1591,08/25,530,42443.48,37025.36
781,4133678130795,2312,06/28,351,30019.49,29152.1
782,502048347467,365,01/26,308,34685.79,30222.64
783,3567890871963677,2488,09/29,464,9548.66,7067.85
784,2238137916369770,2289,10/33,912,30587.36,26823.49
785,6011512350706618,2635,07/29,723,33609.64,3997.39
786,4638583768261577,874,04/27,299,41290.85,38403.23
787,30008904072490,1624,09/27,410,34262.99,22086.14
788,3532327726396292,253,12/27,435,36610.9,35537.89
789,4537581472187,1184,11/32,212,5568.02,2072.82
790,4348255578691,1035,12/25,766,42923.5,24215.66
791,3509008247160982,1424,08/34,592,7741.18,39032.89
792,3538940315928228,1839,04/32,704,8515.22,32296.44
793,4897678895503280124,309,12/29,858,23467.22,16655.0
794,6011144512535584,2768,10/31,503,35225.3,49037.65
795,3552359459888992,437,05/29,240,45427.97,28960.49
796,180074393919615,580,06/33,912,28024.77,40582.33
797,4115175709522183,1579,10/30,9389,27009.32,30397.2
798,180078760428753,762,11/32,7436,19364.81,2142.24
799,4547573690314727,1197,03/25,802,6444.21,49763.91
800,675919990993,1149,08/34,366,11766.83,6576.96
801,566105942114,2310,10/25,748,36537.63,11710.4
802,3568213485405408,1814,03/33,124,39723.43,10061.43
803,4162283278386268332,410,08/29,014,33385.41,36393.23
804,4293654386819868,1735,11/30,430,20129.26,36639.13
805,4638136899724,707,02/34,881,28030.9,21059.78
806,3537396984293090,2613,10/30,096,22724.17,7528.11
807,4303442829010,1779,05/29,990,20455.21,25070.29
808,4548415454928908781,1083,07/27,505,14905.77,41755.98
809,4894869353759011,2395,12/34,121,6713.84,12065.06
810,377463205504033,1025,08/27,731,23044.67,7932.44
811,6011240369824749,2362,11/31,927,45490.23,36618.35
812,561566508629,2757,05/26,508,46282.23,6624.18
813,3547350995463190,100,04/30,470,37076.5,12271.02
814,372240997575545,2362,12/27,811,33281.41,38375.86
815,2227731391269316,862,07/30,573,11569.11,32494.32
816,2249116138924882,1331,09/30,350,29467.97,17835.07
817,4759997409526,1751,04/25,655,9819.73,28616.82
818,502047664599,2739,02/26,472,34928.12,31630.24
819,213180779353831,2669,05/34,717,9272.6,43637.16
820,4714249951759,246,09/27,032,39697.66,36448.42
821,4841917005692405,2819,01/27,876,34913.48,23638.41
822,4142667921803901,2875,08/30,199,17124.33,36446.91
823,2298505131040177,2737,08/30,809,34616.43,1269.03
824,4547411231786,1415,01/26,973,39595.89,17931.56
825,213117823125195,2427,08/28,366,16321.63,32441.37
826,3537764820344338,59,11/27,106,21433.56,25494.84
827,4614003593146,922,03/29,478,47734.71,5296.47
828,4055455035453786895,2272,06/27,154,43928.29,21112.69
829,4438005748293589,2553,09/34,365,35244.42,17191.74
830,372588424161333,886,07/28,4741,32606.37,12650.38
831,4143380456503,1354,01/34,333,39309.02,38989.96
832,30311336707810,1812,07/26,116,27386.41,15073.67
833,3558321246325153,2902,12/30,090,34696.15,33458.3
834,30163183236710,2556,03/27,786,1407.67,27618.91
835,3537258820894384,501,02/33,296,25136.63,45578.79
836,3559709141273933,1359,10/28,423,35026.91,22752.54
837,180090886266876,2777,05/27,159,15637.39,35472.9
838,213145983771359,1729,04/33,520,11251.08,30724.06
839,4024241440764796614,198,11/30,116,18760.05,38315.62
840,3573362038565730,1420,01/31,780,29290.65,6786.36
841,4316681066464034795,452,09/29,453,45716.24,21523.16
842,3589196068702983,580,12/31,756,9074.49,10458.38
843,6504566714087655,2365,12/33,284,49181.9,43248.69
844,378030912750776,1207,05/28,693,30288.78,22762.81
845,376268236886239,1421,12/31,059,10574.15,10569.39
846,4943408393028912321,851,06/25,950,10755.87,9907.92
847,5334235737970994,1586,03/31,406,30075.02,27435.02
848,2720766600684535,932,12/34,368,20126.15,42234.19
849,630428725133,2884,06/33,752,46844.51,11351.73
850,2706276543333313,1906,03/32,056,12564.14,8275.08
851,4912098276032916190,270,07/25,592,22705.22,43575.03
852,4623196632988049,1175,08/27,4833,27696.0,37556.9
853,371980012089185,308,12/28,375,48372.85,45682.37
854,4986553183197915904,2581,06/34,108,39842.6,32561.85
855,4242595058181867,1330,01/32,929,38303.1,22511.44
856,3556918336446690,1283,06/28,309,11242.3,36526.99
857,3523698043937070,2286,01/31,073,33354.06,14902.46
858,3556363306766514,1527,11/32,002,36565.52,11238.05
859,4301500749682,1227,06/28,452,34384.02,10565.61
860,6011376680077607,137,10/31,238,9715.2,43877.89
861,4416825418654,2511,06/30,387,25852.45,33473.03
862,3566215498434244,2324,08/29,795,41903.06,4295.66
863,2513188850690438,1903,04/25,204,46016.31,14999.22
864,378129314774622,2598,07/34,305,47059.61,6852.63
865,4446015988042,1748,11/25,649,42395.4,25639.15
866,4423150899805,666,02/33,747,26955.56,14594.68
867,180097979967906,859,01/32,514,3201.57,1899.67
868,370077366353498,1075,12/26,250,12476.5,20679.95
869,4111800956360,2293,01/34,932,24313.71,32002.33
870,676393673246,2067,12/32,680,39217.76,33942.33
871,4210492960136700,345,06/32,978,34947.01,24838.39
872,3528994414264466,325,04/34,830,21090.94,18687.42
873,4937714500237,1794,10/25,489,12127.95,32092.39
874,6516342259170637,1452,08/28,507,4854.93,8767.98
875,3575111823841022,234,01/27,704,48591.46,25466.31
876,379718821687480,480,03/25,390,27681.21,23583.4
877,4301367904628,703,12/30,551,47756.91,32623.01
878,30399000775072,1163,06/27,110,2890.48,7580.58
879,30399537815300,2276,07/30,214,17895.48,33350.76
880,503859230388,517,03/27,319,12605.94,2492.03
881,344696157556861,337,12/26,535,15895.07,46429.7
882,3532062607864502,2109,03/26,798,30925.82,42262.22
883,3544232180192524,1931,09/28,431,34548.34,22998.92
884,4352545613205437398,588,10/25,4864,49289.34,15373.1
885,3553903813061090,2300,01/31,672,7124.96,20747.76
886,3537428151797494,1236,07/34,703,9516.32,36287.1
887,4776912397680067,1342,08/31,9739,4250.0,14040.74
888,2692739468660685,1603,01/28,955,44228.64,32300.42
889,4723318652625186901,2458,12/33,7798,28220.97,23073.46
890,4058227638957967837,714,03/31,564,37007.67,30766.67
891,4622664609975092,2413,03/32,277,38550.27,27878.24
892,4585650995708549,2960,02/30,850,30881.25,9787.81
893,4898492815389990,583,03/30,023,31256.14,48239.13
894,562006468374,2267,11/25,856,7072.66,47632.17
895,340617180434888,2694,08/32,439,35174.22,25311.01
896,3569938484862451,1135,10/33,985,42992.2,15648.57
897,3563840858579883,142,01/28,536,23381.81,20670.74
898,585397390758,156,11/33,130,9352.83,11367.6
899,4124136401233,797,08/34,717,48196.13,9847.59
900,3515858402139664,1420,03/26,268,4532.46,48003.96
901,2713241711928360,1377,11/27,100,29226.0,28816.56
902,2720085196822288,818,11/30,920,35682.39,34485.83
903,501886569661,1036,07/25,335,35273.73,18922.07
904,213188252758673,2476,10/34,103,6397.94,41015.53
905,4561051296286764,375,11/29,623,38443.18,48895.6
906,370195498154095,2670,01/33,155,15553.46,20395.29
907,6011256792930960,575,04/27,530,25818.26,30931.61
908,4461375754976207,1173,03/31,772,32883.1,23069.78
909,4017133528376884,2822,09/29,193,4395.33,32470.02
910,180053340685347,1517,08/25,890,14993.38,5849.33
911,4249503813181423,1356,03/26,097,7776.92,46594.24
912,180057618971057,277,05/30,8488,43895.1,6524.44
913,346154050202413,2112,04/34,339,15248.21,20295.11
914,4729734870251010,1789,02/35,645,4966.3,8420.47
915,675903507498,1054,08/32,6988,39188.22,2092.09
916,4936838564678703285,988,02/28,000,5433.66,37077.46
917,501827772929,966,02/26,051,46255.24,24219.32
918,6596303826648953,2336,04/32,724,39163.13,36198.37
919,3527372643357560,266,10/27,561,38303.69,24228.04
920,4909490639892568,2967,11/27,286,23410.57,28575.15
921,374363575614771,27,08/27,482,21459.16,6427.9
922,346999125662946,1852,11/33,853,23965.95,1083.17
923,4384593098050,403,08/25,730,44079.69,15212.26
924,3541406734483018,2811,02/28,471,44882.41,15736.96
925,6550297988315373,1227,03/27,9629,45252.81,23196.49
926,3539949459524767,1975,10/34,761,29733.93,20598.05
927,2228329443911784,1288,04/33,492,48353.04,46370.59
928,3526694287001373,2744,09/30,365,40115.81,25865.3
929,4440853442808,1997,08/34,576,40709.52,47851.74
930,4215302252481,363,12/33,241,3855.75,28434.27
931,3514699771729995,777,11/31,035,6270.52,1727.67
932,180005861510411,732,04/26,193,31676.12,33411.41
933,502031271609,379,01/34,052,7960.0,40194.17
934,341433723103967,1348,05/27,577,19653.66,39729.01
935,346645297391034,1535,04/31,054,33844.82,48740.73
936,502008237070,2499,04/34,909,45987.68,31244.23
937,6588766804133505,1409,05/26,541,6583.63,20762.21
938,2253148500371643,394,12/28,335,44886.09,31141.96
939,180009521157209,42,01/35,134,18488.01,45460.19
940,213102417916423,353,07/34,426,1450.79,8172.68
941,4620552644235840,224,03/32,972,16436.72,28382.48
942,676257214756,345,08/33,799,46905.13,12078.04
943,3597412742726185,2582,09/32,765,15558.4,19278.58
944,4428024310263355210,2495,04/28,507,38772.47,22501.95
945,4110894065069341,2630,03/26,367,21744.79,42536.46
946,180008816617505,2139,11/29,436,30080.08,37310.85
947,213139131448127,1466,03/27,636,40625.23,38320.99
948,4232036175627070181,704,03/30,096,28938.52,37934.3
949,6011716919811211,1150,05/30,503,49500.77,35827.27
950,4985202433655316,2895,03/29,233,43939.87,39899.35
951,4458971121345814,2662,03/26,496,48144.86,10917.7
952,2253656714786794,1223,02/30,636,42968.26,12938.68
953,3585255375092464,1946,05/33,705,2634.19,28660.94
954,4328784862461726,767,04/29,190,38861.47,13116.9
955,30498724399803,950,07/27,821,27756.72,47915.76
956,3530912345670896,85,06/32,702,7494.36,15471.19
957,569225378490,303,11/25,299,38993.53,25003.17
958,4524523281132050,825,01/31,200,19625.54,7861.33
959,4868835129707337014,650,06/25,351,44555.74,27594.79
960,2264268159340363,2897,07/33,974,5784.14,42873.65
961,3524048778462804,1408,06/29,428,23611.73,28939.02
962,4374974057046571,224,04/30,833,18026.64,7084.44
963,180042706065541,1632,06/32,524,22783.06,49020.2
964,6011166420452487,580,05/29,0738,46396.03,16628.71
965,503836355415,1679,03/25,362,24311.36,28747.4
966,4603396903251,1278,06/27,972,42524.09,41294.14
967,30127243409104,1928,02/31,461,42547.9,3475.48
968,6011950214725566,2807,08/32,881,40502.64,37160.78
969,4361473747969222,2301,12/33,093,40144.89,10239.19
970,374588981028667,1459,07/28,406,34524.69,36912.37
971,30419181350170,1624,10/34,107,23586.77,12985.83
972,213117311401660,1884,10/27,843,37986.2,24621.66
973,3519257243825043,1356,11/31,429,7868.99,33379.08
974,30412735187503,1820,04/33,634,30098.4,35211.0
975,3553155373639837,172,02/33,158,2321.85,30578.7
976,503827628994,586,05/30,339,27227.65,1444.37
977,6582465286024136,1275,12/33,3989,23592.0,29619.32
978,3539127482526410,595,09/28,0035,48650.63,36560.76
979,180074992430121,2956,03/32,616,36321.07,43620.54
980,2251018836654115,927,11/31,978,19355.78,37887.55
981,4913182463656870,969,01/35,006,30581.89,19617.86
982,3564973265348052,1012,09/25,887,39580.37,37460.79
983,4010399305531855655,701,12/28,321,4876.56,23359.57
984,3523851936655131,2686,10/27,810,42623.31,20058.62
985,4582015185567,1011,05/34,8982,8703.05,294.59
986,4639071378955,1630,06/31,940,3117.8,27654.65
987,577573250450,1711,07/30,090,41607.98,24275.83
988,3534057609624837,534,01/30,7107,38085.89,5545.34
989,6588332888783135,1140,04/34,000,25327.51,48288.85
990,349821778123561,2872,07/25,859,37679.43,36110.08
991,213151777287933,2714,04/29,678,10087.61,31222.67
992,4310516954343,757,10/32,051,5904.08,39193.94
993,4576158935615226877,2736,04/31,708,12374.24,10221.47
994,30011265621343,1698,11/29,012,26450.56,8889.95
995,639075714605,2898,04/25,298,18569.35,45475.12
996,3577837535429338,1257,01/27,8471,24050.27,11210.15
997,3581430446368102,1931,05/27,195,13880.12,40174.43
998,4483904406620,1183,10/27,388,6551.42,49508.56
999,213150039533902,2876,05/30,850,29699.18,13650.65
1000,4613790604585000630,639,09/31,293,6608.49,30616.25
1001,180092925383548,2764,03/30,2857,41199.1,28724.38
1002,3556624693389479,171,02/33,135,1339.29,18412.01
1003,4328570775040,1862,05/33,277,33657.41,20776.41
1004,4524706553962989455,1694,04/29,818,15532.84,42881.03
1005,180059414451409,1564,10/28,392,36475.65,48497.53
1006,341580839754453,2274,11/33,309,49888.15,12923.37
1007,373075511410194,2729,09/28,919,49900.5,34755.37
1008,3590750476926506,2738,11/30,1518,44939.86,10861.34
1009,5115073381439684,1813,06/25,467,46690.91,8271.18
1010,4422368509004084,2938,03/30,032,13110.26,45161.19
1011,6523755488170881,2173,04/29,326,28438.97,681.34
1012,2221678824637567,2965,10/31,102,20454.84,37604.18
1013,343081336314915,2127,06/25,159,14238.21,27029.37
1014,4195634877132,2192,04/34,930,13135.33,15956.52
1015,6011528528334851,505,05/26,077,39382.74,26260.12
1016,36755236718406,1559,04/27,178,7140.37,32432.94
1017,3519041165500952,309,09/33,987,26632.12,13695.79
